,词语,词频
0,月,60175
1,日,71527
2,讯,1595
3,据,7976
4,纽约,1511
5,时报,2171
6,报道,14288
7,美国,15034
8,华尔街,146
9,股市,306
10,在,215964
11,年,79381
12,的,857574
13,最后,5054
14,一天,3013
15,继续,6803
16,上涨,2926
17,和,141007
18,全球,3345
19,一样,5063
20,都,51813
21,以,29539
22,最高,4144
23,纪录,879
24,或,15063
25,接近,1302
26,结束,2944
27,本,3951
28,交易,3140
29,说,50679
30,标普,18
31,指数,1364
32,今年,12446
33,上升,1661
34,为,64235
35,以来,5191
36,最大,4971
37,涨幅,1403
38,道琼斯,8
39,工业,2701
40,平均,2895
41,纳斯,10
42,达,5140
43,克,2003
44,来说,3957
45,由于,7484
46,就业,2760
47,前景,423
48,看好,349
49,经济,14537
50,增长,9640
51,明年,667
52,可能,9704
53,加速,795
54,消费者,3179
55,信心,1098
56,工商,1087
57,协进会,4
58,报告,6949
59,到,47369
60,明显,4277
61,高于,948
62,日报,1404
63,是,163930
64,表现,3329
65,最好,2420
66,一年,6032
67,这,51594
68,里,16705
69,投资,6720
70,明智,48
71,做法,1475
72,追,904
73,着,17634
74,傻钱,4
75,跑,1901
76,所谓,1677
77,策略,427
78,其实,4036
79,就是,14928
80,买入,129
81,并,32279
82,持有,751
83,股票,705
84,这样,10723
85,普通,2746
86,组合,871
87,这个,14903
88,要,46328
89,比,9666
90,对冲,29
91,基金,2770
92,其它,633
93,专业,3927
94,投资者,1040
95,使用,7975
96,更为,956
97,复杂,1460
98,方法,2735
99,效果,2776
100,好,17465
101,得,10533
102,多,26571
103,老,3948
104,任,2603
105,平壤,239
106,电,5765
107,记者,40307
108,王莉,117
109,程维丹,7
110,朝鲜,3248
111,领导人,1703
112,金正恩,674
113,通过,16525
114,各,8783
115,大媒体,69
116,发表,2236
117,新年,2876
118,贺词,204
119,向,20384
120,全体,1461
121,军民,179
122,致,1621
123,问候,321
124,强调,4157
125,新的,4269
126,将,64019
127,加强,8251
128,强国,215
129,建设,22430
130,提高,7677
131,人民,8619
132,生活,12594
133,水平,5571
134,国防,830
135,力量,2819
136,祖国,527
137,统一,4096
138,斗争,1026
139,中,68733
140,取得,3904
141,进展,1386
142,一,39059
143,被,51036
144,视为,696
145,未来,4037
146,工作,43961
147,指导,2264
148,方针,551
149,回顾,473
150,了,204346
151,过去,4630
152,领域,3690
153,成绩,2147
154,表示,28309
155,感谢,1312
156,提到,1382
157,劳动党,112
158,采取,3836
159,坚决,2218
160,措施,5452
161,清除,482
162,隐藏,360
163,党内,688
164,宗派,22
165,污点,26
166,适时,397
167,作出,3147
168,正确,1680
169,决策,1253
170,揭发,99
171,肃清,32
172,反党,23
173,反革命,48
174,集团,4814
175,使,6407
176,党,5700
177,革命,876
178,队伍,2139
179,进一步,8004
180,巩固,532
181,一心,122
182,团结,998
183,得到,5351
184,努力,4227
185,把,20243
186,农业,4077
187,当做,258
188,主攻,101
189,方向,3431
190,狠抓,221
191,对,60907
192,集中,4030
193,一切,2044
194,部门,15198
195,开创,403
196,繁荣,461
197,期,2900
198,搞好,211
199,发电站,12
200,畜产,13
201,基地,2670
202,住房,2943
203,等,59797
204,一系列,1724
205,重要,9873
206,工程,6409
207,大力,1727
208,尤其,2575
209,军队,1461
210,基本,6584
211,战斗,806
212,单位,9452
213,连队,104
214,更多,5188
215,生产,6072
216,轻量化,16
217,无人,856
218,化,2855
219,智能化,83
220,精密,60
221,式,2529
222,现代化,1213
223,武器,1485
224,装备,1458
225,自卫,157
226,彻底,1241
227,建立,5742
228,唯一,1536
229,领导,7018
230,体系,3932
231,牢固,271
232,保障,6328
233,纯洁性,35
